end_time,latency_ms,name,parent_span_id,span_id,start_time,status,trace_id,attributes.application_id,attributes.credpilot.span_kind,attributes.has_message,attributes.has_packet,attributes.recalled_memories,attributes.findings,attributes.scanned_message,attributes.scanned_packet_text,attributes.clarification_round,attributes.confidence,attributes.conversation_type,attributes.decided_by,attributes.domain,attributes.intent,attributes.route,attributes.mode,attributes.product_domain,attributes.resolved,attributes.allowed,attributes.catalogue_size,attributes.governing_policies,attributes.expansion_terms,attributes.hits,attributes.top_k,attributes.model,attributes.collection,attributes.dense_candidates,attributes.fused_candidates,attributes.lexical_candidates,attributes.rrf_k,attributes.candidates,attributes.kept,attributes.as_of_date,attributes.dropped,attributes.temporal_filtering,attributes.unresolved,attributes.citations,attributes.evidence_count,attributes.latency_ms,attributes.policy_ids,attributes.policy_versions,attributes.rule_ids,attributes.status,attributes.requires_human_review,attributes.identifiers,attributes.found,attributes.lookup,attributes.requested,attributes.breaches,attributes.indeterminate,attributes.rules_evaluated,attributes.flags,attributes.level,attributes.citation_count,attributes.outcome,attributes.available,attributes.citations_used,attributes.cost_usd,attributes.input_tokens,attributes.is_faithful,attributes.llm_call,attributes.output_tokens,attributes.reasoning_tokens,attributes.total_tokens,attributes.halted,attributes.reason_count,attributes.kind,attributes.validation_passed,attributes.notices,attributes.pii_findings,attributes.missing,attributes.round
2026-09-22T05:52:14.404353+00:00,2.008,rag.result,1ef66774a2e54583,d6fe1587029dfaaa,2026-09-22T05:52:14.402345+00:00,UNSET,ec300f831e3acc9a486c59f1c51e5325,,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,,,,,,,,,,,,,,"POL-DTI-001 v1.0 rule DTI-CONV-001,POL-USDA-001 v1.0 rule USD-OVL-004,POL-DTI-001 v1.0 rule DTI-CALC-001,POL-FHA-001 v1.0 rule FHA-OVL-004,POL-DTI-001 v1.0 rule DTI-CONV-002,POL-VA-001 v1.0 rule VA-OVL-003",6.0,12335.75,"POL-DTI-001,POL-USDA-001,POL-DTI-001,POL-FHA-001,POL-DTI-001,POL-VA-001","1.0,1.0,1.0,1.0,1.0,1.0","DTI-CONV-001,USD-OVL-004,DTI-CALC-001,FHA-OVL-004,DTI-CONV-002,VA-OVL-003",FOUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.404353+00:00,12337.575,rag.retrieve,,1ef66774a2e54583,2026-09-22T05:52:02.066779+00:00,UNSET,ec300f831e3acc9a486c59f1c51e5325,APP-000055,TOOL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,6.0,,,,,,,,,2026-06-25,,,,,6.0,,,,,FOUND,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.479833+00:00,0.0,domain.resolve,,0d7c90128fba79a2,2026-09-22T05:52:14.479833+00:00,UNSET,4398331bacd9d70e5096a427b7fcdfaf,APP-000055,ACTING,,,,,,,,,,,,,,,MORTGAGE,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.481839+00:00,2.006,metadata.filter,1c2f4037ce3b622e,f50dbc161ee3b7f8,2026-09-22T05:52:14.479833+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,276.0,329.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.485852+00:00,0.0,bm25.search,1c2f4037ce3b622e,fe824232f159544d,2026-09-22T05:52:14.485852+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,2.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.510112+00:00,24.26,embedding.query,1c2f4037ce3b622e,2612c60ee715fe8c,2026-09-22T05:52:14.485852+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,intfloat/e5-base-v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.522248+00:00,12.136,chroma.search,1c2f4037ce3b622e,a5a8b1f9c638d61f,2026-09-22T05:52:14.510112+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,,15.0,15.0,,credpilot_mortgage_policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.522248+00:00,0.0,rrf.fusion,1c2f4037ce3b622e,bf8d0a90226a45d5,2026-09-22T05:52:14.522248+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,15.0,12.0,15.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.911781+00:00,389.533,reranker.run,1c2f4037ce3b622e,9dabc3111b378d2d,2026-09-22T05:52:14.522248+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,MORTGAGE,,,,,,,,cross-encoder/ms-marco-MiniLM-L-6-v2,,,,,,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-22T05:52:14.911781+00:00,0.0,temporal.validate,1c2f4037ce3b622e,10d201859e292a25,2026-09-22T05:52:14.911781+00:00,UNSET,351825f82318db0203debb58d57e191e,,RETRIEVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2026-06-25,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
